English,Hindi
Particle density,कण घनत्व
Particle detector,कण संसूचक
Particle drift velocity,कण-अपवाह-वेग
Particle dynamics,कणगतिकी
Particle emission,कण-उत्सर्जन
Particle energy,कण ऊर्जा
Particle lens,कण लेन्स
Particle mechanics,कण-यांत्रिकी
Particle number,कण संख्या
Particle of rest-mass,विरामस्थ द्रव्यमान का कण
Particle oriented,कण मूलक
Particle physics,कण भौतिकी
Particle radiation,लव विकिरण
Particle theory,कण वाद
Particle track,कण लीक
Particle velocity,कण वेग
Particle width (=radiation width),कणीय प्रसर (विकिरण प्रसर)
Partition,"विभाजन, वितरण"
Partition blade,विभाजक पटल
Partition coefficient,वितरण गुणांक
Partition function,"संवितरण फलन, विभाजन फलन"
Partition noise,विभाजन रव
Partition of unity,एकांक विभाजन
Partly filled band,अंश पूरित बैंड
Parton,पारटॉन
Party line,पार्टी लाइन
PAS (=photoacousitc spectroscopy),प्रकाशध्वानिक स्पेक्ट्रमिकी
Pascal,पास्कल
Pascal's law,पास्कल नियम
Paschen Back effect,पाशन बैक प्रभाव
Paschen series,पाशन श्रेणी
Paschen-Runge mounting,पाशन रूंगे आरोपण
Passing key,पारक कुंजी
Passivated transistor,अक्रियकृत ट्रांजिस्टर
Passive absorption,निष्क्रिय अवशोषण
Passive antenna,निष्क्रिय ऐन्टेना
Passive component,अक्रिय घटक
Passive corner reflector,निष्क्रिय कोणी परावर्तकत
Passive detection,निष्क्रिय संसूचन
Passive device,निष्क्रिय युक्ति
Passive double relector,निष्क्रिय युग्म परावर्तक
Passive element,अक्रिय अवयव
Passive filter,निष्क्रिय फिल्टर
Passive flight,निष्क्रिय उड़ान
Passive homing,निष्क्रिय अभिलक्ष्यन
Passive jamming,निष्क्रिय संबाधन
Passive junction,अक्रिय संधि
Passive load,निष्क्रिय लोड
Passive network,स्रोतहीन जाल
Passive quadripole,स्रोतहीन चतुष्टर्मिनली
Passive radar,निष्क्रिय रडार
Passive reflector,निष्क्रिय परावर्तक
Passive region,निष्क्रिय प्रदेश
Passive resistance,निष्क्रिय प्रतिरोध
Passive satellite,निष्क्रिय उपग्रह
Passive transducer,निष्क्रिय ट्रांसडयूसर
Passive transport,निष्क्रिय अभिगमन
Patch,"पैबंद, स्तबक, पैच (बर्फ), धब्बा"
Patch board,"पैच बौर्ड, योजक बोर्ड"
Patch cord,योजक रज्जु
Patching,पैबंद लगाना
Path,पथ
Pattern,"चित्रम, प्रतिमान, प्रतिरूप, पैटर्न"
Pattern generator,चित्राम जनित्र
Pattern matching,"चित्राम सुमेलन, पैटर्न सुमेलन"
Pattern playback,"पैटर्न पुनःचालन, चित्राम पुनः चालन"
Patterson map,पैटर्सन मानचित्र
Patterson projection,पैटर्सन प्रक्षेपण
Patterson series,पैटर्सन श्रेणी
Patterson Tunell mask,पैटर्सन टनेल प्रच्छादन
Patterson Tunell method,पैटर्सन टनेल विधि
Patterson Tunell strip,पैटर्सन टनेल पट्टिका
Pauci spiral,अल्पसर्पिल
Pauli electron correlation,पाउली इलेक्ट्रॉन सहसंबंध
Pauli exclusion principle,पाउली अपवर्जन सिद्धांत
Pauli principle,पाउली सिद्धान्त
Pauli spin operator,पाउली प्रचक्रण संकारक
Pauli spin susceptibility,पाउली प्रचक्रण चुंबकीय प्रवृत्ति
Pauli's exclusion principle,पाउली अपवर्जन सिद्धान्त
Pauling rule,पॉलिंग नियम
Pay load,"पेलोड, भारयोग, आयभार"
Payload mass,नीतभार द्रव्यमान
Payload ratio,नीतभार अनुपात
Payload velocity,नीतभार वेग
PDMS (=plasma desorption mass sectrometry),प्लैज्मा विशोषण द्रव्यमान स्पेक्ट्रममिति
Peak,शिखर
Peak black,कृष्ण शिखर
Peak clipper,शिखर कर्तक
Peak clipping,शिखर कर्तन
Peak forward anode voltage,शिखर अग्र ऐनोड वोल्टता
Peak function,शिखर फलन
Peak intensity,शिखर तीव्रता
Peak intenstiy method,शिखर तीव्रता विधि
Peak inverse voltage,प्रतीप शिखर वोल्टता
Peak limiter,शिखर सीमक
Peak load,"शिखर लोड, शिखर भार"
Peak pulse power,स्पंद की शिखर शक्ति
Peak to peak amplitude,शिखर-शिखर आयाम
Peak trough,शिखर द्रोणी
Peak value,शिखरमान
Peak voltmeter,शिखर वोल्टमापी
Peak white (=white peak),श्वेत शिखर
Peak width,शिखर चौड़ाई
Peak working reverse voltage,कार्यकारी शिखर प्रतिवोल्टता
Peak-a-boo system,पीक-ए-बू प्रणाली
Peak-to-peak value,शिखर-शिखर मान
Peak-to-valley ratio,"शिखर-घाटी अनुपात, शिखर-गर्त अनुपात"
Peaker,शिखरक
Peaking coil (=correcting coil),शिखरन कुंडली
Peaking inductance,शिखरन प्रेरकत्व
Peaking network,शिखरक जाल
Peaking transformer,शिखर ट्रांसफ़ार्मर
Pedal disc,पाद बिम्ब
Pedal effort,पदिक प्रयास
Pedestal,"पेडेस्टल, पीठिका"
Pedestal block,पीठिका खंड
Pedestal pulse,समलंब स्पंद
Peel,"छिलका, छीलन (सं.), विशल्कन, छीलना, निशल्कन (क्रि.)"
Peltier coefficient,पेल्टियर गुणांक
Peltier effect,पेल्टियर-प्रभाव
Pen wiper,पेन वाइपर
Penetration ballistics,वेधन प्राक्षेपिकी
Penning ion source,पैनिंग आयन स्रोत
Penning ionization,पैनिंग आयनन
Penning trap,पैनिंग प्रग्राही
Penta prism,पंच-पार्श्व प्रिज़्म
Pentad,"पंचतय, पंचदिवसावधि, पंचसंयोजक"
Pentagrid converter,पंचग्रिड परिवर्तक
Pentagrid mixer,पंचग्रिड मिश्रक
Pentance standard,पेन्टेनी दीप स्रोत
Pentane lamp,पेन्टेन लैम्प
Pentatron,पेन्टाट्रान
Pentode,पेन्टोड
Pentode valve,पेन्टोड वाल्व
Penumbra,उपच्छाया
Per unit mass,प्रति एकांक द्रव्यमान
Perceived noise level,अवगमी रव स्तर
Percent,प्रतिशत
Percent decrease,प्रतिशत ह्रास
Percent defective,प्रतिशत दूषितानुपात
Percentage,प्रतिशतता
Percentage deptyh dose,"प्रतिशत गहराई डोज़, प्रतिशत गहराई मात्रा"
Percentage error,प्रतिशत त्रुटि
Percentage incrrease,प्रतिशत वृद्धि
Percentage modulation,प्रतिशतता माडुलन
Percentage of elongation,"दैर्घ्यवृद्धि प्रतिशतता, लंबाई वृद्धि प्रतिशतता"
Percentage of error,अशुद्धि-प्रतिशतता
Percentage omission,प्रतिशत छूट
Percentage position,प्रतिशत स्थिति
Percentage synchronization,प्रतिशत तुल्यकालन
Percolation limit,अंतःस्रवण सीमा
Percussion,आघात
Percussion instrument,"आघात-वाद्य, पट-वाद्य"
Perfect,"यथातथ, आदर्श, पूर्ण, परिपूर्ण"
Perfect black body,आदर्श कृष्णिका
Perfect cleaveage,परिपूर्ण विदलन
Perfect conductor,पूर्ण चालक
Perfect crystal,पूर्ण क्रिस्टल
Perfect cube,पूर्ण घन
Perfect dielectric,आदर्श परावैद्युत
Perfect dislocation,पूर्ण प्रभ्रंश
Perfect field,परिपूर्ण क्षेत्र
Perfect fifth,शुद्ध पंचम
Perfect gas,आदर्श गैस
Perfect interval,शुद्ध अंतराल
Perfect radiator,आदर्श विकिरक
Perfectly diffuse reflector,पूर्णविसरण परावर्तक
Perfectly elastic,पूर्ण प्रत्यास्थ
Perfectly elastic body,पूर्ण प्रत्यास्थ पिंड
Perfectly flexible,पूर्णतः नम्य
Perfectly inelastic collision,पूर्ण अप्रत्यास्थ संघट्ट
Perfectly plastic solid,पूर्णतः सुघट्य पिंड
Perfectly white body,आदर्श श्वेत वस्तु
Perforated,"सछिद्र, छिद्रित, छिद्रिल"
Perforated cathode,सछिद्र कैथोड
Perforated disc,छिद्रिल चक्रिका
Perforated tapes,"छिद्रित फीता, छिद्रित टेप"
Perforation,"छिद्र, छिद्रण"
Performance,निष्पादन
Performance chart,निष्पादन चार्ट
Performance index,निष्पादन सूचकांक
Performance monitor,निष्पादन मानीटर
Performance number,निष्पादन संख्या
Performance test,निष्पादन परीक्षण
Performeter (=echo box actuator),प्रतिध्वनि प्रवर्तक
Peri center,परिकेन्द्र
Perigee,"भूमिनीच, उपभू"
Perigee distance,उपभू दूरी
Perihelion,"उपसौर, रविनीच"
Perihelion advance,रविनीच की प्रगति
Perihelion displacement,रविनीच विस्थापन
Perimeter,परिमाप
Period,"आवर्तकाल, अवधिकाल, आवर्तक, आवर्तनांक (त्रिकोणमिति), कल्प, कालांक"
Period meter,"कालांक मापी, पिरियड मीटर"
Period of induction,प्रेरण काल
Period of latency,अवयक्त काल
Period of revolution,परिक्रमण काल
Period of rotation,घूर्णन काल
Period of vibration,कंपन-काल
Period parallelogram,कालांक समांतरचतुर्भुज
Period range (=instrument range),कालांक परिसर
Periodic,आवर्ती
Periodic antenna,आवर्ती ऐन्टेना
Periodic boundary condition,आवर्ती परिसीमा प्रतिबंध
Periodic damping,आवर्ती अवमंदन
Periodic disturbances,आवर्ती विक्षोभ
Periodic disturbing force,आवर्ती विक्षोभी बल
Periodic field,आवर्ती क्षेत्र
Periodic fluctuation,आवर्ती उच्चावचन
Periodic force,आवर्त बल
Periodic form,आवर्ती रूप
Periodic line,आवर्ती लाइन
Periodic motion,आवर्ती गति
Periodic orbit,आवर्ती कक्षा
Periodic term,आवर्ती पद
Periodic time (of a heavenly body),आवर्ती काल
Periodic wave,आवर्ती तरंग
Periodical,आवर्ती
Periodical growth,आवधिक वृद्धि
Periodicity,आवर्तिता
Periodicity modulus,आवर्तिता मापांक
Periodogram,आवर्तिता वक्र
Periodogram analysis,आवर्तिता वक्र विश्लेषण
Peripheral,"परिधीय, उपान्तीय, परिरेखीय"
Peripheral area,"परिधीय क्षेत्र, उपान्तीय क्षेत्र"
Peripheral electron (=conduction electron-valence electron-outer shell electron),"चालन इलेक्ट्रॉन, संयोजकता इलेक्ट्रॉन, बाह्य कोश इलेक्ट्रॉन"
Peripheral equipment,उपांत उपस्कर
Peripheral fault,परिधीय भ्रंश
Peripheral point spectrum,परिरेखीय बिन्दु मानावली
